BeerID,Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod
49949,Specialty IPA,23,18.93,1.063,1.018,5.9,77.99,29.3,28.39,60,1.042,65,1.3,Specific Gravity,4
68639,Specialty IPA,23,22.71,1.071,1.018,6.95,51.43,29.36,28.39,60,1.057,70,1.25,Specific Gravity,4
55222,Specialty IPA,23,20.82,1.078,1.015,8.3,77.04,29.46,28.39,60,1.057,85,1.5,Specific Gravity,4
16815,Specialty IPA,23,20.82,1.056,1.013,5.61,84.65,29.6,28.39,60,1.041,70,1.5,Specific Gravity,4
45614,Specialty IPA,23,20.82,1.06,1.015,5.92,78.16,29.75,28.39,60,1.044,70,1.25,Specific Gravity,4
49852,Specialty IPA,23,20.82,1.063,1.012,6.67,87.68,29.78,28.39,60,1.046,75,1.25,Specific Gravity,4
10030,Specialty IPA,23,18.93,1.083,1.015,9,118.66,30.06,28.39,60,1.056,75,N/A,Specific Gravity,3
10311,Specialty IPA,23,20.82,1.058,1.01,6.37,37.08,30.71,28.39,90,1.043,65,1.5,Specific Gravity,4
52314,Specialty IPA,23,20.82,1.071,1.015,7.42,60.08,31.09,28.39,60,1.046,70,1.5,Specific Gravity,4
55473,Specialty IPA,23,20.82,1.061,1.018,5.57,52.83,31.27,28.39,60,1.044,35,1.5,Specific Gravity,4
57852,Specialty IPA,23,20.82,1.061,1.018,5.57,61.61,31.27,28.39,60,1.044,35,1.5,Specific Gravity,4
11612,Specialty IPA,23,18.93,1.071,1.018,6.97,60.03,31.46,28.39,60,1.047,70,1.5,Specific Gravity,4
36705,Specialty IPA,23,20.82,1.066,1.016,6.5,69.32,32.13,28.39,60,1.048,65,1.25,Specific Gravity,4
25380,Specialty IPA,23,20.82,1.056,1.013,5.71,87.56,32.68,28.39,60,1.041,68,1.3,Specific Gravity,4
56900,Specialty IPA,23,22.71,1.071,1.012,7.77,77.64,32.75,28.39,60,1.057,68,1.5,Specific Gravity,4
26670,Specialty IPA,23,21.31,1.068,1.011,7.48,45.73,33.02,28.39,60,1.051,77,1.25,Specific Gravity,4
29667,Specialty IPA,23,20.82,1.08,1.017,8.27,71.1,33.1,28.39,60,1.059,75,1.25,Specific Gravity,4
71915,Specialty IPA,23,20.82,1.071,1.016,7.23,85.64,33.23,28.39,90,1.052,70,N/A,Specific Gravity,4
47109,Specialty IPA,23,20.82,1.072,1.014,7.62,80.06,33.52,28.39,60,1.053,73,N/A,Specific Gravity,4
59888,Specialty IPA,23,22.71,1.065,1.015,6.53,84.1,33.57,28.39,60,1.052,78,1.5,Specific Gravity,4
72014,Specialty IPA,23,22.71,1.054,1.012,5.42,64.03,33.6,28.39,60,1.043,70,1.5,Specific Gravity,4
52857,Specialty IPA,23,20.82,1.078,1.022,7.37,64.01,33.64,28.39,60,1.057,75,1.5,Specific Gravity,4
15419,Specialty IPA,23,22.71,1.078,1.023,7.26,118.05,33.74,28.39,90,1.062,83,1.5,Specific Gravity,4
63383,Specialty IPA,23,18.93,1.07,1.017,6.85,92.69,33.78,28.39,60,1.046,75,1.5,Specific Gravity,4
32699,Specialty IPA,23,20.82,1.065,1.017,6.27,41.5,34.02,28.39,60,1.047,75,1.5,Specific Gravity,4
47134,Specialty IPA,23,22.71,1.071,1.023,6.28,76.97,34.02,28.39,60,1.057,80,1.25,Specific Gravity,4
59681,Specialty IPA,23,18.93,1.063,1.012,6.66,115.26,34.61,28.39,60,1.042,70,N/A,Specific Gravity,3
56581,Specialty IPA,23,22.71,1.073,1.013,7.86,66.98,34.65,28.39,60,1.058,70,N/A,Specific Gravity,3
47507,Specialty IPA,23,20.82,1.072,1.017,7.2,82.3,34.67,28.39,90,1.052,75,1.25,Specific Gravity,4
39121,Specialty IPA,23,20.82,1.076,1.024,6.79,57.83,34.7,28.39,60,1.056,80,1.5,Specific Gravity,4
29784,Specialty IPA,23,20.82,1.058,1.014,5.66,69.27,34.71,28.39,60,1.042,70,1.3,Specific Gravity,4
15540,Specialty IPA,23,18.93,1.071,1.017,7.15,88.89,34.84,28.39,60,1.048,70,1.25,Specific Gravity,4
46252,Specialty IPA,23,20.82,1.075,1.019,7.24,0,35.06,28.39,60,1.055,65,1.2,Specific Gravity,4
58190,Specialty IPA,23,20.82,1.073,1.016,7.49,85.29,35.44,28.39,60,1.054,72,1.5,Specific Gravity,4
30025,Specialty IPA,23,20.82,1.061,1.01,6.71,65.27,35.53,28.39,60,1.045,70,N/A,Specific Gravity,3
35793,Specialty IPA,23,20.82,1.064,1.015,6.52,72.13,35.63,28.39,60,1.047,70,1.5,Specific Gravity,4
65881,Specialty IPA,23,20.82,1.069,1.015,7.2,62.97,35.64,28.39,60,1.051,62,1.5,Specific Gravity,4
67715,Specialty IPA,23,20.82,1.067,1.016,6.71,81.41,35.84,28.39,60,1.046,75,1.5,Specific Gravity,4
5055,Specialty IPA,23,22.71,1.083,1.02,8.34,95.71,35.88,28.39,60,1.067,80,1.5,Specific Gravity,4
48950,Specialty IPA,23,22.71,1.062,1.01,6.81,68.91,36.03,28.39,75,1.046,68,1.5,Specific Gravity,4
61683,Specialty IPA,23,20.82,1.086,1.015,9.24,66.37,36.25,28.39,60,1.063,65,1.25,Specific Gravity,4
39814,Specialty IPA,23,23.66,1.068,1.02,6.39,83.43,36.27,28.39,60,1.057,70,N/A,Specific Gravity,3
57266,Specialty IPA,23,22.71,1.083,1.016,8.86,141.44,36.29,28.39,60,1.067,65,1.5,Specific Gravity,4
69284,Specialty IPA,23,20.82,1.055,1.016,5.17,49.46,36.29,28.39,60,1.04,75,1.6,Specific Gravity,4
65561,Specialty IPA,23,18.93,1.076,1.022,7.1,51.01,36.31,28.39,60,1.051,75,N/A,Specific Gravity,4
49999,Specialty IPA,23,22.71,1.059,1.014,5.96,119.95,36.58,28.39,60,1.048,70,1.5,Specific Gravity,4
19486,Specialty IPA,23,18.93,1.069,1.016,6.93,121.89,36.78,28.39,60,1.046,70,1.25,Specific Gravity,4
31460,Specialty IPA,23,20.82,1.076,1.02,7.28,132.84,37.33,28.39,60,1.055,70,1.5,Specific Gravity,4
62344,Specialty IPA,23,18.93,1.056,1.013,5.67,80.24,37.5,28.39,60,1.037,70,1.5,Specific Gravity,4
44337,Specialty IPA,23,20.82,1.059,1.01,6.32,49.69,37.57,28.39,60,1.043,70,1.5,Specific Gravity,4
48297,Specialty IPA,23,20.82,1.072,1.016,7.31,92.18,38.02,28.39,60,1.053,65,N/A,Specific Gravity,4
47673,Specialty IPA,23,20.82,1.086,1.016,9.18,54.84,38.14,28.39,65,1.063,80,1.33,Specific Gravity,4
70292,Specialty IPA,23,20.82,1.081,1.02,8.01,185.01,38.26,28.39,60,1.057,70,N/A,Specific Gravity,3
66956,Specialty IPA,23,24.61,1.096,1.025,9.27,112.47,38.42,28.39,60,1.083,70,1.25,Specific Gravity,4
52054,Specialty IPA,23,20.82,1.065,1.015,6.58,80.76,38.51,28.39,60,1.048,65,1.5,Specific Gravity,4
1103,Specialty IPA,23,20.82,1.09,1.017,9.6,77.1,38.84,28.39,60,1.066,77,N/A,Specific Gravity,4
55451,Specialty IPA,23,22.71,1.068,1.016,6.85,91.73,39.06,28.39,60,1.055,65,1.5,Specific Gravity,4
67654,Specialty IPA,23,20.82,1.08,1.014,8.58,84.78,39.24,28.39,90,1.058,70,1.5,Specific Gravity,4
21350,Specialty IPA,23,18.93,1.074,1.018,7.28,49.04,39.5,28.39,60,1.046,70,1.25,Specific Gravity,4
33557,Specialty IPA,23,20.82,1.07,1.018,6.83,84.55,39.53,28.39,60,1.051,70,1.33,Specific Gravity,4
59056,Specialty IPA,23,20.82,1.068,1.012,7.36,61.45,39.65,28.39,60,1.05,78,N/A,Specific Gravity,3
49305,Specialty IPA,23,20.82,1.075,1.017,7.64,84.54,39.8,28.39,60,1.055,75,1,Specific Gravity,4
69237,Specialty IPA,23,18.93,1.071,1.017,7.14,67.59,40.6,28.39,60,1.047,70,N/A,Specific Gravity,3
65110,Specialty IPA,23,20.82,1.08,1.019,7.96,75.62,40.64,28.39,60,1.058,75,1.5,Specific Gravity,4
11443,Specialty IPA,23,18.93,1.099,1.023,9.99,157.34,40.78,28.39,90,1.066,75,N/A,Specific Gravity,3
29605,Specialty IPA,23,18.93,1.09,1.023,8.78,200.61,40.84,28.39,60,1.06,70,N/A,Specific Gravity,3
53968,Specialty IPA,23,20.82,1.07,1.016,7.06,84.2,41.1,28.39,60,1.051,70,1.5,Specific Gravity,4
4391,Specialty IPA,23,20.82,1.055,1.011,5.79,86.87,41.37,28.39,60,1.041,70,1.25,Specific Gravity,4
